"Product Id","Product Name","Active (Product)","Product Family","N&ET Product","N&ET Family","Business Unit"
01tN5000007Sp22,"GRANTA STEELS BUNDLE (STAHLDAT, MI-21, STEELSPEC, GLOBAL POWDER METALLURGY) - PAID UP",1,"GRANTA MI",0,,MatBU
01tN5000007Sp23,"GTURBO - PAID UP",1,Fluent,0,,FBU
01tN5000007Sp24,GTURBO,1,Fluent,0,,FBU
01tN5000007Sp25,"LSTC LS-DYNA SMALL SYSTEM ADDED CORES - GLOBAL LEASE",1,LS-DYNA,0,,MBU
01tN5000007Sp26,"LSTC LS-DYNA SMALL SYSTEM JOB - GLOBAL LEASE",1,LS-DYNA,0,,MBU
01tN5000007Sp27,"LSTC THUMS - PAID UP",1,LS-DYNA,0,,MBU
01tN5000007Sp28,"MIXSIM - PAID UP",1,Fluent,0,,FBU
01tN5000007Sp29,MIXSIM,1,Fluent,0,,FBU
01tN5000007Sp2A,"MIXSIM CLIENT ONLY - PAID UP",1,Fluent,0,,FBU
01tN5000007Sp2B,"MIXSIM CLIENT ONLY",1,Fluent,0,,FBU
01tN5000007Sp2C,"MR OPTION - GLOBAL LEASE",1,EnSight,0,,FBU
01tN5000007Sp2D,"MR OPTION - GLOBAL WAN FEE",1,EnSight,0,,FBU
01tN5000007Sp2E,"MR OPTION - PAID UP",1,EnSight,0,,FBU
01tN5000007Sp2F,"MR OPTION - REGIONAL WAN FEE",1,EnSight,0,,FBU
01tN5000007Sp2G,"MR OPTION - SITE-BASED WAN FEE",1,EnSight,0,,FBU
01tN5000007Sp2H,"NUHERTZ ACTIVE - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2I,"NUHERTZ ACTIVE (NODE) - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2J,"NUHERTZ DIGITAL CIRCUIT - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2K,"NUHERTZ DIGITAL CIRCUIT (NODE) - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2L,"NUHERTZ DISTRIBUTED - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2M,"NUHERTZ DISTRIBUTED (NODE) - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2N,"NUHERTZ FILTER SOLUTIONS PRO ADVANCED - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2O,"NUHERTZ FILTER SOLUTIONS PRO ADVANCED (NODE) - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2P,"NUHERTZ LUMPED - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2Q,"NUHERTZ LUMPED (NODE) - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2R,"NUHERTZ SWITCHED CAPACITOR - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2S,"NUHERTZ SWITCHED CAPACITOR (NODE) - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2T,"NUHERTZ ZMATCH - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2U,"NUHERTZ ZMATCH (NODE) - PAID UP",1,Nuhertz,0,,EBU
01tN5000007Sp2V,"NX CAD CONNECTION - SITE-BASED WAN FEE",1,"CAD Translators",0,,FBU
01tN5000007Sp2W,"PARASOLID READER - SITE-BASED WAN FEE",1,"CAD Translators",0,,FBU
01tN5000007Sp2X,"PC TOKEN - REGIONAL PAID UP",1,EnSight,0,,FBU
01tN5000007Sp2Y,"PC TOKEN - REGIONAL TECS",1,EnSight,0,,FBU
01tN5000007Sp2Z,"POLYFLOW VISCOELASTICITY - SITE-BASED WAN FEE",1,Polyflow,0,,FBU
01tN5000007Sp2a,"POWERARTIST-PT - PAID UP",1,PowerArtist,0,,SCBU
01tN5000007Sp2b,"POWERARTIST-PT - REGIONAL WAN FEE",1,PowerArtist,0,,SCBU
01tN5000007Sp2c,"POWERARTIST-PT - SITE-BASED WAN FEE",1,PowerArtist,0,,SCBU
01tN5000007Sp3Z,"POWERTHEATER-SOC TO POWERARTIST-XP UPG - PAID UP",1,PowerArtist,0,,SCBU
01tN5000007Sp3a,"POWERTHEATER-XP TO POWERARTIST-XP UPG - PAID UP",1,PowerArtist,0,,SCBU
01tN5000007Sp3b,"RD FLUENT/KINETICS - PAID UP",1,"Reaction Design",0,,FBU
01tN5000007Sp3c,"RD FORTE CPU - GLOBAL LEASE",1,"Reaction Design",0,,FBU
01tN5000007Sp3d,"RD FORTE CPU - GLOBAL WAN FEE",1,"Reaction Design",0,,FBU
01tN5000007Sp3e,"RD FORTE CPU - REGIONAL WAN FEE",1,"Reaction Design",0,,FBU
01tN5000007Sp3f,"RD FORTE CPU - SITE-BASED WAN FEE",1,"Reaction Design",0,,FBU
01tN5000007Sp3g,"RD MFC SOFTWARE - PAID UP",1,"Reaction Design",0,,FBU
01tN5000007Sp3h,"RD REACTION WORKBENCH - GLOBAL LEASE",1,"Reaction Design",0,,FBU
01tN5000007Sp3i,"RD REACTION WORKBENCH - GLOBAL WAN FEE",1,"Reaction Design",0,,FBU
01tN5000007Sp3j,"RD REACTION WORKBENCH - REGIONAL WAN FEE",1,"Reaction Design",0,,FBU
01tN5000007Sp3k,"RD REACTION WORKBENCH - SITE-BASED WAN FEE",1,"Reaction Design",0,,FBU
01tN5000007Sp3l,"REDHAWK AQUA - PAID UP",1,RedHawk,0,,SCBU
01tN5000007Sp3m,"REDHAWK GDS TO DEF OPTION - PAID UP",1,RedHawk,0,,SCBU
01tN5000007Sp3n,"REDHAWK MESH PATTERN RECOGNITION (MPR) - PAID UP",1,RedHawk,0,,SCBU
01tN5000007Sp3o,"REDHAWK SD TO NX UPGRADE - GLOBAL LEASE",1,RedHawk,0,,SCBU
01tN5000007Sp3p,"REDHAWK SD TO NX UPGRADE - PAID UP",1,RedHawk,0,,SCBU
01tN5000007Sp3q,"REDHAWK TOKEN - PAID UP",1,RedHawk,0,,SCBU
01tN5000007Sp3r,"REDHAWK-NX - PAID UP",1,RedHawk,0,,SCBU
01tN5000007Sp3s,"REDHAWK-NX - REGIONAL WAN FEE",1,RedHawk,0,,SCBU
01tN5000007Sp3t,"SCADE DISPLAY KCG - WITHOUT CERTIFICATION KIT - REGIONAL PAID UP",1,SCADE,0,,SBU
01tN5000007Sp3u,"SCADE SYSTEM ADVANCED MODELER - REGIONAL PAID UP",1,SCADE,0,,SBU
01tN5000007Sp3v,"SENTINEL-NPE (FORMERLY PAKSI-E) - GLOBAL WAN FEE",1,Sentinel,0,,SCBU
01tN5000007Sp3w,"SENTINEL-NPE (FORMERLY PAKSI-E) - PAID UP",1,Sentinel,0,,SCBU
01tN5000007Sp3x,"SENTINEL-PI - PAID UP",1,Sentinel,0,,SCBU
01tN5000007Sp3y,"SENTINEL-PSI - PAID UP",1,Sentinel,0,,SCBU
01tN5000007Sp3z,"SENTINEL-PSI EMI - PAID UP",1,Sentinel,0,,SCBU
01tN5000007Sp40,"SENTINEL-PSI TRANSIENT - PAID UP",1,Sentinel,0,,SCBU
01tN5000007Sp41,"SENTINEL-SSO - PAID UP",1,Sentinel,0,,SCBU
01tN5000007Sp42,"SENTINEL-TI - PAID UP",1,Sentinel,0,,SCBU
01tN5000007Sp43,"SPACECLAIM DATA EXCHANGE PDF - FLOATING - PAID UP",1,Modeling,0,,DBU
01tN5000007Sp44,"SPACECLAIM DATA EXCHANGE PDF - LOCKED - PAID UP",1,Modeling,0,,DBU
01tN5000007Sp45,"SPEOS FOR CATIA V5 ENTERPRISE - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp46,"SPEOS FOR CATIA V5 ENTERPRISE - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp47,"SPEOS FOR CATIA V5 FAR INFRARED EXTENSION - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp48,"SPEOS FOR CATIA V5 FAR INFRARED EXTENSION - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp49,"SPEOS FOR CATIA V5 HUD DESIGN & ANALYSIS - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4A,"SPEOS FOR CATIA V5 HUD DESIGN & ANALYSIS - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4B,"SPEOS FOR CATIA V5 OPTICAL DESIGN OPTIMIZER - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4C,"SPEOS FOR CATIA V5 OPTICAL DESIGN OPTIMIZER - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4D,"SPEOS FOR CATIA V5 OPTICAL PART DESIGN - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4E,"SPEOS FOR CATIA V5 OPTICAL PART DESIGN - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4F,"SPEOS FOR CATIA V5 OPTICAL SENSOR TEST - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4G,"SPEOS FOR CATIA V5 OPTICAL SENSOR TEST - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4H,"SPEOS FOR CATIA V5 PREMIUM - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4I,"SPEOS FOR CATIA V5 PREMIUM - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4J,"SPEOS FOR CATIA V5 PRO - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4K,"SPEOS FOR CATIA V5 PRO - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4L,"SPEOS FOR CREO PARAMETRIC ENTERPRISE - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4M,"SPEOS FOR CREO PARAMETRIC ENTERPRISE - GLOBAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4N,"SPEOS FOR CREO PARAMETRIC ENTERPRISE - PAID UP",1,SPEOS,0,,EBU
